,id,coin,address,tag,method,txid,size,fee,status,time,notes,destinationName,sentTime,confirmedTime,confirmations,account,exchange
49,20268549,BCH,"{'address': 'bitcoincash:qrl59ue7seauw2lsj370zu70gq04zwsh5unkfg6scm', 'tag': None, 'method': 'bch', 'coin': None}",,bch,ace6590e4d2810854e5b294ed9c39daea257b333388addc5f7fab4afef3c4ab7,0.10159575,0.0,confirmed,2022-05-08T15:11:26.718813+00:00,,,2022-05-08T15:18:08+00:00,2022-05-08T15:25:27.939809+00:00,2.0,10003,ftx
50,20243221,UST,"{'address': 'terra1luagdjcr9c9yvp3ak4d7chjm5gldcmgln5rku5', 'tag': '823031602', 'method': 'terra', 'coin': None}",,terra,e6953af085a5bfa2d4b074bf707a428b8042d63d2b947288606c5b7f4be55e74,500000.0,0.0,confirmed,2022-05-08T06:59:11.729447+00:00,,,2022-05-08T06:59:11.740403+00:00,2022-05-08T07:01:12.556064+00:00,3.0,10003,ftx
51,20210237,USDT,"{'address': '0x8E59558B73A92572834169Dc0096df9E42168B57', 'tag': None, 'method': 'erc20', 'coin': None}",,erc20,0x1f8e2aca37f7ed81518451c33cebbb2b9983f67feed04ff88da27f0a9d833212,63.127116,0.0,confirmed,2022-05-07T15:46:46.531300+00:00,,,2022-05-07T15:46:46.551615+00:00,2022-05-07T15:48:49.934455+00:00,12.0,10003,ftx
52,20210068,ETH,"{'address': '0xaB4Bfe506a3Cb36ADDf97678293bD429B9951726', 'tag': None, 'method': 'eth', 'coin': None}",,eth,0x1f3f5acecb20a86396e9dd40fe1119122eb1ffcf38842b949cc4ec302ae5c8fb,0.38563854,0.0,confirmed,2022-05-07T15:41:53.412098+00:00,,,2022-05-07T15:41:20+00:00,2022-05-07T15:44:24.920791+00:00,10.0,10003,ftx
53,20208573,BTC,"{'address': '337ne45ueXx2iAR1gNAqxnwsCGuLquCLnh', 'tag': None, 'method': 'btc', 'coin': None}",,btc,d6944158a69641efa617c23a52103ad17aa58994e0f8e3b33369f93d01640d64,0.01445933,0.0,confirmed,2022-05-07T15:11:55.699714+00:00,,,2022-05-07T15:17:19+00:00,2022-05-07T15:19:44.445120+00:00,2.0,10003,ftx
54,20208533,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,97818CBAB84B32F4CF1DC6CE1D99C6886386661244CBF41664C4B2FB12D98737,3141.472192,0.0,confirmed,2022-05-07T15:11:27.170066+00:00,,,2022-05-07T15:11:20+00:00,2022-05-07T15:13:27.654372+00:00,1.0,10003,ftx
55,20157050,BTC,"{'address': '337ne45ueXx2iAR1gNAqxnwsCGuLquCLnh', 'tag': None, 'method': 'btc', 'coin': None}",,btc,f729aced6fcdf242e9db465a636abf4d270b7705e72b6d2074e1f02918c0c080,0.48368118,0.0,confirmed,2022-05-06T15:12:26.580854+00:00,,,2022-05-06T16:09:39+00:00,2022-05-06T16:22:23.546509+00:00,2.0,10003,ftx
56,20157028,XRP,"{'address': 'rPFXvVo2fYXVPdV9gCHQouHsMgMhQ2aUwM', 'tag': '3680179910', 'method': 'xrp', 'coin': None}",,xrp,A42248AB9C5944E3034FC1165ACFAEE29478CE29C54ACEA0E3534A2CB70C928A,98.179394,0.0,confirmed,2022-05-06T15:11:57.667764+00:00,,,2022-05-06T15:11:31+00:00,2022-05-06T15:13:58.117988+00:00,1.0,10003,ftx
57,20156997,BCH,"{'address': 'bitcoincash:qrl59ue7seauw2lsj370zu70gq04zwsh5unkfg6scm', 'tag': None, 'method': 'bch', 'coin': None}",,bch,870bee87a3d988c12272ea35facc516ee07bc1a3f3983d08a4be3b7bad673dcc,0.09752686,0.0,confirmed,2022-05-06T15:11:26.730541+00:00,,,2022-05-06T15:12:17+00:00,2022-05-06T15:16:57.127958+00:00,2.0,10003,ftx
58,20126945,NEAR,"{'address': '4627dcb46fc5482fdca2ed5134ad814a732d2b198ffc113afd0ca26fbd7a8707', 'tag': None, 'method': 'near', 'coin': 'NEAR'}",,near,HhfJNwnacw9RaJG27DnuwmYZ4coC7kgTHxistHxn7jaS,3870.0,0.0,confirmed,2022-05-06T05:17:55.555934+00:00,,,2022-05-06T05:17:41.811292+00:00,2022-05-06T05:19:56.123848+00:00,1.0,10003,ftx
